pair,n,eg_resid_adf_t,eg_pass_5pct,approx_p,bh_fdr_survive,half_life_is
ICICIBANK.NS/BAJFINANCE.NS,4288,-3.328,false,0.0521,false,82.1
ICICIBANK.NS/BAJAJ-AUTO.NS,4288,-2.887,false,0.1488,false,127.5
ICICIBANK.NS/BHARTIARTL.NS,4288,-2.918,false,0.1390,false,132.0
ICICIBANK.NS/WIPRO.NS,4288,-4.069,true,0.0086,false,66.1
ICICIBANK.NS/MARUTI.NS,4288,-2.205,false,0.4442,false,169.7
ICICIBANK.NS/HCLTECH.NS,4288,-3.335,false,0.0509,false,96.5
ICICIBANK.NS/TATASTEEL.NS,4288,-1.524,false,0.7400,false,462.7
ICICIBANK.NS/KOTAKBANK.NS,4288,-3.308,false,0.0553,false,80.6
ICICIBANK.NS/ULTRACEMCO.NS,4288,-3.007,false,0.1104,false,117.6
ICICIBANK.NS/SUNPHARMA.NS,4288,-1.309,false,0.7910,false,429.4
ICICIBANK.NS/ASIANPAINT.NS,4288,-3.384,true,0.0457,false,79.5
ICICIBANK.NS/NESTLEIND.NS,4288,-3.423,true,0.0421,false,148.5
ICICIBANK.NS/POWERGRID.NS,4288,-3.020,false,0.1062,false,114.6
ICICIBANK.NS/NTPC.NS,4288,-1.627,false,0.6970,false,458.8
ICICIBANK.NS/ONGC.NS,4288,-1.441,false,0.7626,false,536.0
ICICIBANK.NS/DIVISLAB.NS,4287,-3.780,true,0.0160,false,86.8
ICICIBANK.NS/CIPLA.NS,4288,-2.758,false,0.1901,false,130.9
ICICIBANK.NS/EICHERMOT.NS,4288,-2.010,false,0.5374,false,189.9
ICICIBANK.NS/GRASIM.NS,4288,-2.452,false,0.3125,false,170.5
ICICIBANK.NS/HEROMOTOCO.NS,4288,-2.391,false,0.3452,false,163.9
ICICIBANK.NS/HINDALCO.NS,4288,-1.880,false,0.5918,false,291.7
ICICIBANK.NS/INDUSINDBK.NS,4288,-1.243,false,0.8051,false,373.9
ICICIBANK.NS/JSWSTEEL.NS,4288,-2.518,false,0.2776,false,156.1
ICICIBANK.NS/LT.NS,4288,-3.017,false,0.1072,false,105.9
ICICIBANK.NS/M&M.NS,4288,-2.124,false,0.4873,false,210.2
ICICIBANK.NS/TECHM.NS,4288,-3.464,true,0.0381,false,81.8
ICICIBANK.NS/TITAN.NS,4288,-3.417,true,0.0426,false,73.7
