symbol,ann_date,bucket,reaction_date,earcc,gap,intra,continuation_next
YESBANK.NS,2026-04-18,weekend,2026-04-20,-0.01618,0.02229,-0.03876,-0.00968
YESBANK.NS,2026-04-18,weekend,2026-04-20,-0.01618,0.02229,-0.03876,-0.00968
ICICIAMC.NS,2026-04-17,after-close,2026-04-20,-0.01178,0.00000,-0.01294,0.05881
ICICIGI.NS,2026-04-16,after-close,2026-04-17,-0.00918,0.00652,-0.00390,-0.00682
HDBFS.NS,2026-04-15,after-close,2026-04-16,0.05830,0.11749,-0.04722,-0.01761
ICICIGI.NS,2026-04-15,after-close,2026-04-16,0.00902,0.00495,0.01044,-0.00918
ICICIGI.NS,2026-04-15,after-close,2026-04-16,0.00902,0.00495,0.01044,-0.00918
HDBFS.NS,2026-04-15,after-close,2026-04-16,0.05830,0.11749,-0.04722,-0.01761
HDBFS.NS,2026-04-15,after-close,2026-04-16,0.05830,0.11749,-0.04722,-0.01761
ACC.NS,2026-04-14,after-close,2026-04-15,-0.00749,0.01312,0.00154,0.00168
BAJAJHFL.NS,2026-04-14,after-close,2026-04-15,0.02452,0.01729,0.02890,-0.00418
ICICIPRULI.NS,2026-04-14,intraday,2026-04-15,0.00482,0.05764,-0.02898,-0.01230
ICICIAMC.NS,2026-04-13,after-close,2026-04-15,-0.06168,0.00790,-0.04704,0.01643
ALKEM.NS,2026-04-10,after-close,2026-04-13,-0.00962,-0.01103,-0.00288,0.01716
HUDCO.NS,2026-02-20,intraday,2026-02-20,-0.00128,0.00015,0.00277,-0.00714
GMRAIRPORT.NS,2026-02-19,after-close,2026-02-20,0.00276,-0.00050,0.00747,0.01064
LENSKART.NS,2026-02-16,after-close,2026-02-17,-0.04197,-0.00950,-0.02929,0.00632
HUDCO.NS,2026-02-16,after-close,2026-02-17,-0.01926,-0.00168,-0.01416,0.01196
GMRAIRPORT.NS,2026-02-14,weekend,2026-02-16,0.06379,0.01191,0.05644,-0.01061
LUPIN.NS,2026-02-14,weekend,2026-02-16,0.00486,0.00909,0.00099,0.00826
GMRAIRPORT.NS,2026-02-13,after-close,2026-02-16,0.06379,0.01191,0.05644,-0.01061
FORTIS.NS,2026-02-13,after-close,2026-02-16,-0.00632,-0.00005,-0.00104,-0.01284
FORTIS.NS,2026-02-13,after-close,2026-02-16,-0.00632,-0.00005,-0.00104,-0.01284
ALKEM.NS,2026-02-13,intraday,2026-02-13,-0.06452,-0.00349,-0.07650,0.00920
LUPIN.NS,2026-02-12,after-close,2026-02-13,0.00987,-0.00050,-0.00484,0.00486
LUPIN.NS,2026-02-12,after-close,2026-02-13,0.00987,-0.00050,-0.00484,0.00486
ENDURANCE.NS,2026-02-12,after-close,2026-02-13,-0.01349,-0.00391,-0.02489,-0.00350
ENDURANCE.NS,2026-02-12,after-close,2026-02-13,-0.01349,-0.00391,-0.02489,-0.00350
IRCTC.NS,2026-02-12,after-close,2026-02-13,0.00789,0.00474,-0.01200,-0.01171
PETRONET.NS,2026-02-12,after-close,2026-02-13,-0.00751,-0.01784,-0.00497,0.00957
LENSKART.NS,2026-02-12,intraday,2026-02-12,0.10215,0.10372,-0.00601,-0.00585
ALKEM.NS,2026-02-12,intraday,2026-02-12,0.00175,0.00068,-0.00399,-0.06452
LENSKART.NS,2026-02-12,pre-open,2026-02-13,-0.00585,0.03499,-0.05415,-0.01011
LGEINDIA.NS,2026-02-11,after-close,2026-02-12,-0.02773,-0.07164,0.04184,0.04393
LENSKART.NS,2026-02-11,after-close,2026-02-12,0.10215,0.10372,-0.00601,-0.00585
ASHOKLEY.NS,2026-02-11,intraday,2026-02-11,-0.01544,0.00367,-0.01971,0.02769
ESCORTS.NS,2026-02-11,intraday,2026-02-11,-0.03295,-0.00382,-0.02993,-0.01096
AIIL.NS,2026-02-10,after-close,2026-02-11,0.00691,-0.03606,0.04386,-0.00542
HUDCO.NS,2026-02-10,after-close,2026-02-11,-0.00277,0.00046,-0.00392,0.05003
OIL.NS,2026-02-10,after-close,2026-02-11,-0.01896,-0.01013,-0.00961,-0.00412
OIL.NS,2026-02-10,after-close,2026-02-11,-0.01896,-0.01013,-0.00961,-0.00412
JUBLFOOD.NS,2026-02-10,after-close,2026-02-11,-0.01276,0.02805,-0.04035,-0.00637
ESCORTS.NS,2026-02-10,intraday,2026-02-10,0.00868,0.00514,0.00701,-0.03295
BSE.NS,2026-02-09,after-close,2026-02-10,0.05985,0.04184,0.02064,0.00159
BAJAJHFL.NS,2026-02-07,weekend,2026-02-09,-0.01770,0.00022,-0.00197,0.00297
NYKAA.NS,2026-02-07,weekend,2026-02-09,-0.01281,0.00004,0.00310,0.00668
KALYANKJIL.NS,2026-02-06,after-close,2026-02-09,0.13422,0.06509,0.07988,-0.01139
LICHSGFIN.NS,2026-01-30,after-close,2026-02-02,-0.04549,-0.03553,-0.02216,-0.00408
ACC.NS,2026-01-30,after-close,2026-02-02,0.01087,-0.00984,0.00938,-0.00985
SWIGGY.NS,2026-01-30,after-close,2026-02-02,0.00060,0.01372,-0.02420,0.00708
GLENMARK.NS,2026-01-30,after-close,2026-02-02,-0.03596,-0.04008,-0.00760,-0.01236
SAIL.NS,2026-01-30,after-close,2026-02-02,-0.00486,-0.02005,0.00385,0.00831
SAIL.NS,2026-01-30,after-close,2026-02-02,-0.00486,-0.02005,0.00385,0.00831
HUDCO.NS,2026-01-30,intraday,2026-01-30,-0.06378,-0.02976,-0.03158,-0.00872
PAYTM.NS,2026-01-30,intraday,2026-01-30,-0.02958,-0.00274,-0.02352,0.04122
NTPCGREEN.NS,2026-01-29,after-close,2026-01-30,-0.07010,-0.02155,-0.04616,-0.00007
PAYTM.NS,2026-01-29,after-close,2026-01-30,-0.02958,-0.00274,-0.02352,0.04122
VOLTAS.NS,2026-01-29,after-close,2026-01-30,-0.01909,-0.00571,-0.01006,0.01059
HUDCO.NS,2026-01-29,after-close,2026-01-30,-0.06378,-0.02976,-0.03158,-0.00872
NAM-INDIA.NS,2026-01-29,after-close,2026-01-30,0.01577,0.00975,0.00931,-0.00640
