side,symbol,deal_date,band,deal_value_inr,adv_ratio,pre_car,day0_ar,post_car_h5
BUY,FORTIS.NS,2025-01-23,midcap,1644653396,1.79,-0.02114,-0.00484,0.028225771751750672
BUY,POLICYBZR.NS,2026-03-06,midcap,6946514009,2.51,0.00153,-0.02527,0.053784334956515245
BUY,GSLSU.NS,2025-11-13,broad,72281162,1.88,0.05301,0.00460,-0.0662697496706125
BUY,ORIENTTECH.NS,2026-01-02,broad,6277499626,98.35,0.28789,0.02509,-0.12241544688516504
BUY,STLTECH.NS,2025-06-19,micro,277822917,3.95,0.36388,0.04181,-0.02419323759171088
BUY,VIJAYA.NS,2025-02-21,smallcap,560904334,2.29,-0.01613,0.08035,0.12071052402581295
BUY,MAMATA.NS,2025-07-28,broad,283048420,0.53,0.06370,-0.01665,-0.10418895373081749
BUY,SMCGLOBAL.NS,2025-12-04,broad,107650451,8.66,0.03222,0.19608,0.1498742975416707
BUY,ORIENTTECH.NS,2026-01-07,broad,414617210,6.44,0.19159,-0.08946,-0.03483496128391883
BUY,CLEAN.NS,2026-02-02,smallcap,933980031,7.78,-0.02586,-0.05862,-0.05520481558931378
BUY,APEX.NS,2026-02-05,broad,80769070,0.54,0.21473,-0.03457,0.25513231473335574
BUY,BAJAJHCARE.NS,2025-09-24,broad,105277012,2.90,0.07167,0.09898,-0.021467016807272477
BUY,MAMATA.NS,2025-07-10,broad,1569667725,18.43,-0.00467,0.17619,0.002321780837373999
BUY,RAMAPHO.NS,2025-11-07,broad,43948098,0.52,0.01015,0.09590,-0.1391658578205769
BUY,MOSCHIP.NS,2025-09-02,broad,224132707,2.33,-0.00148,0.10036,0.21281921930061465
BUY,CUPID.NS,2026-01-05,micro,5542761079,3.00,-0.12359,-0.07028,0.059407186926856315
BUY,UGROCAP.NS,2025-03-19,broad,318176320,6.19,-0.04477,0.06504,-0.04788205425406633
BUY,HEG.NS,2026-03-27,smallcap,4107884411,7.78,0.00080,0.15497,-0.053308372298579654
BUY,PARAS.NS,2025-05-12,micro,332784038,0.54,0.09282,-0.10193,0.08732823366743836
BUY,TVSSCS.NS,2025-06-17,micro,1137600000,10.92,0.08812,-0.01247,-0.05459820784798297
BUY,LAURUSLABS.NS,2025-01-27,midcap,1980065379,2.09,0.09048,-0.08409,0.11413465420847513
BUY,SIGACHI.NS,2025-11-28,broad,556578596,15.36,-0.02064,0.10552,-0.07594374487934719
BUY,NETWEB.NS,2025-09-05,smallcap,3478785190,4.22,0.15421,0.15829,-0.09283900550867108
BUY,YATHARTH.NS,2025-08-04,micro,376017842,1.40,0.03464,0.01655,0.05508933700306351
BUY,HFCL.NS,2025-11-11,smallcap,595555008,0.67,0.03145,0.05507,-0.03177960550868231
BUY,CHOLAFIN.NS,2025-09-02,broad,975389311,0.63,-0.03650,-0.01356,0.04692816138258671
BUY,DBEIL.NS,2026-03-11,broad,76186080,28.21,0.00771,0.03531,-0.035448504514937085
BUY,AVANTEL.NS,2025-06-05,broad,256244589,0.84,0.09894,0.12559,-0.05910094978064828
BUY,CMSINFO.NS,2025-10-16,micro,716000000,2.21,-0.07029,0.03904,-0.046879405354350756
BUY,TRANSRAILL.NS,2025-07-03,micro,571217034,0.85,0.05220,0.06740,0.00562968538799713
BUY,RATNAVEER.NS,2026-04-15,broad,326037704,3.95,0.08137,-0.00612,-0.06548775458612877
BUY,GSLSU.NS,2025-11-14,broad,30743880,0.57,0.04660,0.02772,-0.025972804652273918
BUY,KAMOPAINTS.NS,2025-08-13,broad,20020000,11.49,0.00833,-0.01195,0.12378419841036403
BUY,AGIIL.NS,2026-02-18,broad,346174724,1.91,-0.00205,0.08243,0.16882891080650664
BUY,AFFORDABLE.NS,2025-10-31,broad,36076000,2.04,-0.07255,0.02340,-0.12018939541156803
BUY,TITAGARH.NS,2025-05-16,smallcap,2724503514,2.11,0.08488,0.11224,-0.0361170223671633
BUY,EIEL.NS,2025-07-18,micro,4012143263,3.10,0.11817,0.03271,-0.042935346926330165
BUY,ACE.NS,2025-08-25,smallcap,716165755,3.68,0.02744,0.09615,0.03319581515601233
BUY,SOUTHBANK.NS,2025-10-20,micro,708324000,2.57,-0.03821,0.14899,0.0048394856046052315
BUY,MOBIKWIK.NS,2025-01-29,broad,3784153222,0.54,-0.09974,0.01903,-0.04823090125223384
BUY,WAAREEENER.NS,2026-02-25,midcap,4365236441,1.49,-0.00091,-0.11034,0.00798053472981719
BUY,RBLBANK.NS,2025-08-28,smallcap,1588583311,0.78,-0.01240,-0.00687,0.028174564993392215
BUY,IRMENERGY.NS,2026-04-22,broad,130633911,3.10,0.01268,0.20808,0.2524542953542497
BUY,AEROFLEX.NS,2025-01-17,broad,1324025641,9.78,0.16083,0.09577,-0.041955680160683295
BUY,INDUSINDBK.NS,2025-03-11,midcap,11612778029,2.92,-0.10716,-0.27290,-0.0494697714735286
BUY,QUICKHEAL.NS,2025-07-01,broad,157032983,1.41,0.00496,0.07502,-0.004098156510277784
BUY,DAMCAPITAL.NS,2025-01-28,broad,685352030,0.63,-0.11040,0.01938,-0.024873630919059364
BUY,APEX.NS,2026-02-19,broad,394286477,0.68,0.17532,0.03231,-0.09457707638573032
BUY,EASEMYTRIP.NS,2025-04-15,broad,336667770,0.77,0.08477,-0.00279,-0.039461133545135585
BUY,KOLTEPATIL.NS,2025-08-29,broad,476777440,10.84,0.17994,-0.00113,-0.01747670632202669
BUY,EXXARO.NS,2025-06-10,broad,28243650,6.31,0.10001,0.02722,-0.08911799479690274
BUY,YATRA.NS,2025-08-13,broad,3948379965,93.61,0.37168,0.07856,0.06476341106226169
BUY,IDEAFORGE.NS,2026-04-22,broad,1542634324,8.40,0.07022,0.13620,0.15930256078866134
BUY,AWHCL.NS,2026-01-23,broad,1524318332,23.10,0.10231,0.14740,-0.16288641190490127
BUY,VIRINCHI.NS,2025-04-28,broad,11175500,2.37,-0.00916,-0.03823,-0.04578681186831823
BUY,JUBLPHARMA.NS,2025-03-18,smallcap,533944656,2.60,-0.02313,-0.00028,-0.061329267391033504
BUY,RAIN.NS,2025-08-07,micro,507913720,3.46,0.00057,0.07539,-0.036123199829384944
BUY,JKIPL.NS,2026-01-29,broad,42295161,6.80,-0.19460,0.15378,0.05490136362879272
BUY,SOLARA.NS,2025-06-16,broad,1980000000,59.65,0.07661,-0.00229,0.05184313083127923
BUY,ZYDUSWELL.NS,2026-03-13,smallcap,2073446868,62.07,0.02472,0.06726,0.006971938852565307
BUY,BLSE.NS,2025-11-07,broad,116016940,4.77,0.17680,0.03888,0.09446276999859315
BUY,GMRP&UI.NS,2025-01-23,micro,138221960,0.72,0.08573,-0.01559,-0.058101538891005444
BUY,MARKOLINES.NS,2025-12-11,broad,19269563,0.98,0.06522,0.01145,-0.01761378686286652
BUY,DELTACORP.NS,2026-04-24,broad,113039195,1.13,0.31081,-0.04879,-0.060356534022500186
BUY,SAGILITY.NS,2025-10-30,smallcap,1538810077,2.00,0.09141,0.07308,-0.013994999122938334
BUY,VIJAYA.NS,2025-03-04,smallcap,2581497420,8.01,0.02273,0.05468,-0.011444828676402063
BUY,COFFEEDAY.NS,2025-09-24,broad,784879698,18.98,-0.01280,0.00672,-0.02704242794486711
BUY,SHARDACROP.NS,2025-07-28,micro,1284007463,4.02,0.30141,0.01743,-0.004317879400123736
BUY,GEOJITFSL.NS,2025-12-15,broad,2640586283,115.19,-0.00586,0.07970,-0.006706844212525098
BUY,BLUSPRING.NS,2025-07-21,broad,89564179,1.15,0.07978,0.04750,0.00880735892561979
BUY,CHENNPETRO.NS,2025-07-04,smallcap,1322316715,1.36,0.04500,0.08063,-0.032731148221158524
