T0,symbol,company_name,t0_bucket,all_buckets,n_tier1_filings,t0_subject,VERIFY_keep,matched_control,pledge_pct_T0minus12m
2026-02-25,UTKARSHBNK,Utkarsh Small Finance Bank Limited,insolvency_nclt,insolvency_nclt,1,Utkarsh Small Finance Bank Limited has informed the Exchange about Copy of Newspaper Publication - Dispatch of Notice of NCLT Convening Meeting of the Equity Shareholders and Unsecured Creditors of the Bank,,,
2026-02-25,GAMMONIND,Gammon India Limited,delisting_unverified,delisting_unverified,1,"Members of the Exchange are hereby informed about the withdrawal of delisting of Equity Shares of Gammon India Limited (GAMMONIND) w.e.f. February 25, 2026, as per the Hon ble Securities Appellate Tribunal ( SAT ), Mumbai, order dated February 19, 2026, to restore the listing of the Company. Accordingly, the status of the Company would be changed from  Delisted  to  Suspended  with effect from February 25, 2026.",,,
2026-02-27,FINOPB,Fino Payments Bank Limited,default_disclosure,default_disclosure,1,Fino Payments Bank Limited has informed the Exchange about Fraud/Default/Arrest,,,
2026-03-07,HINDWAREAP,Hindware Home Innovation Limited,insolvency_nclt,insolvency_nclt,3,Hindware Home Innovation Limited has informed the Exchange regarding Proceedings of NCLT convened meeting of the Unsecured Creditors of Hindware Limited (a subsidiary company),,,
2026-03-11,MONEYBOXX,Moneyboxx Finance Limited,default_disclosure,default_disclosure,1,Moneyboxx Finance Limited has informed the Exchange about Frauds/Default by employees,,,
2026-03-14,SHAREINDIA,Share India Securities Limited,insolvency_nclt,insolvency_nclt,1,"Share India Securities Limited has submitted the Exchange a copy of voting results along with the Scrutinizer reports of the NCLT convened meetings of the Equity Shareholders, Non-Convertible Debenture Holders, Secured Creditors and Unsecured Creditors of the Company.",,,
2026-03-17,ARROWGREEN,Arrow Greentech Limited,default_disclosure,default_disclosure,1,Arrow Greentech Limited has informed the Exchange about Delay/default in the payment of fines/penalties/dues etc. to authority,,,
2026-03-19,VERANDA,Veranda Learning Solutions Limited,insolvency_nclt,insolvency_nclt,1,Veranda Learning Solutions Limited has informed the Exchange regarding 'Order of NCLT for convening Meeting of Shareholders on 24th April 2026'.,,,
2026-03-23,TVSHLTD,TVS Holdings Limited,insolvency_nclt,insolvency_nclt,2,"TVS Holdings Limited has informed the Exchange regarding Notice of NCLT / Court Convened General Meeting to be held on April 24, 2026",,,
2026-03-27,SWANDEF,Swan Defence and Heavy Industries Limited,insolvency_nclt,insolvency_nclt,1,"Swan Defence and Heavy Industries Limited has informed the Exchange that the Company, on 27"" March, 2026 has concluded making full and final repayment to all Committee of Creditors' members, in accordance with the Resolution plan pursuant to the NCLT Order dated 23.12.2022.",,,
2026-04-08,NAM-INDIA,Nippon Life India Asset Management Limited,default_disclosure,default_disclosure,1,"Nippon Life India Asset Management Limited has informed the Exchange about intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,
2026-04-08,PNCINFRA,PNC Infratech Limited,insolvency_nclt,insolvency_nclt,1,PNC Infratech Limited has informed regarding Resolution Plan submitted by the Company under CIRP for Gwalior Bypass Project Ltd (Corporate Debtor) in 2020 - Plan not approved - Settlement reached by the Company with the erstwhile Promoter/Director of the Corporate Debtor - Rs. 20.00 Crore Compensation received by the Company towards costs incurred by it as part of settlement.,,,
2026-04-15,RADIANTCMS,Radiant Cash Management Services Limited,default_disclosure,default_disclosure,1,Radiant Cash Management Services Limited has informed the Exchange about Frauds/Default by former employee of subsidiary,,,
2026-04-16,ASALCBR,Associated Alcohols & Breweries Ltd.,insolvency_nclt,insolvency_nclt,3,Associated Alcohols & Breweries Ltd. has informed the Exchange about NCLT order,,,
2026-04-16,PAYTM,One 97 Communications Limited,default_disclosure,default_disclosure,2,One 97 Communications Limited has informed the Exchange about approval of Default Loss Guarantee on Loans disbursed by lending partner.,,,
2026-04-20,PDSL,PDS Limited,default_disclosure,default_disclosure,1,PDS Limited has informed the Exchange about Frauds/Default by employees,,,
2026-04-22,KAYA,Kaya Limited,insolvency_nclt,insolvency_nclt,1,"Kaya Limited has informed the Exchange about Voluntary liquidation of KME Holdings Pte. Ltd (Singapore) a wholly owned subsidiary of Kaya Limited ( the Company ),  with effect from April 22, 2026.",,,
2026-04-24,PFIZER,Pfizer Limited,default_disclosure,default_disclosure,1,Pfizer Limited has informed the Exchange about Delay/default in the payment of fines/penalties/dues etc. to authority,,,
2026-04-28,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,insolvency_nclt,insolvency_nclt,1,JB Chemicals & Pharmaceuticals Limited has informed the Exchange about proceedings of the NCLT convened meeting,,,
2026-05-04,MOL,Meghmani Organics Limited,insolvency_nclt,insolvency_nclt,8,Meghmani Organics Limited has informed the Exchange about Schedule of NCLT convened meeting of Secured Creditors of the Company,,,
2026-05-04,DABUR,Dabur India Limited,insolvency_nclt,insolvency_nclt,2,"Dabur India Limited has informed the Exchange regarding Voting results and report of Scrutinizer on the NCLT convened meeting of the unsecured creditors of Dabur India Limited held on May 02, 2026.",,,
2026-05-06,HEG,HEG Limited,insolvency_nclt,insolvency_nclt,2,"HEG Limited has informed the Exchange about Voting Result and Scrutinizer's Report of NCLT Convened Equity Shareholders Meeting, Secured Creditors Meeting and Unsecured Creditors Meeting.",,,
2026-05-07,PFOCUS,Prime Focus Limited,insolvency_nclt,insolvency_nclt,4,"Prime Focus Limited has informed the Exchange about Intimation regarding oral pronouncement by NCLT, Mumbai Bench filed under Section 7 of the Insolvency and Bankruptcy Code, 2016",,,
2026-05-11,ASIANENE,Asian Energy Services Limited,insolvency_nclt,insolvency_nclt,2,"Asian Energy Services Limited has informed the Exchange about Copy of Newspaper Advertisement of NCLT convened Meeting of equity shareholders of Asian Energy Services  Limited ( the Company ) to be held on Friday, 12th June, 2026 at 11:00 AM (IST), pursuant to Order  dated 22nd April, 2026 of the National Company Law Tribunal, Mumbai Bench",,,
2026-05-12,PARSVNATH,Parsvnath Developers Limited,insolvency_nclt,insolvency_nclt,6,Parsvnath Developers Limited has informed the Exchange about Corporate Insolvency Resolution Process and appointment of IRP.,,,
2026-05-13,PRITIKAUTO,Pritika Auto Industries Limited,insolvency_nclt,insolvency_nclt,1,"Sub: Updation under Regulation 30 of SEBI (LODR) Regulations 2015 on purchase of land  Dear Sir,This is in continuation to our intimation dated 20th February, 2026 informing you that the Company made a bid under e-auction sale notice issued by the official liquidator (attached to Hon ble High Court of Punjab and Haryana), for Land and Building admeasuring 64 Kanals situated at Village Simbli, Hoshiarpur Phagwara Road, Hoshiarpur, Punjab and had been declared as the highest bidder by the Official Liquidator, Chandigarh.In this respect the Company learnt that litigation was pending regarding this property. The Company prayed the Hon ble High Court of Punjab & Haryana, Chandigarh to set aside the auction as the Company did not wish to involve itself in litigation. The Hon ble High Court on the request of the Company set aside the auction and ordered for refund of money to the Company vide its order dated 11/05/2026. We request you to take the above disclosure on your record.",,,
2026-05-14,LGHL,Laxmi Goldorna House Limited,default_disclosure,default_disclosure,1,Laxmi Goldorna House Limited has informed the Exchange about Fraud/Default/Arrest,,,
2026-05-16,DPSCLTD,DPSC Limited,insolvency_nclt,insolvency_nclt,22,DPSC Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2026-05-18,SYNGENE,Syngene International Limited,insolvency_nclt,insolvency_nclt,1,"Syngene International Limited has informed the Exchange regarding Outcome of Board Meeting held on May 18, 2026, regarding Voluntary liquidation of Syngene Manufacturing Solutions Limited, a Wholly Owned Subsidiary.",,,
2026-05-19,BALMLAWRIE,Balmer Lawrie & Company Limited,rating_to_D,rating_to_D,1,"In view of change in role of Shri Sushil Dugar from Chief Operating Officer (Logistics Services) to Officer on Special Duty with effect from 19th May, 2026, he has ceased to be part of the Senior Management of Balmer Lawrie & Co. Ltd. as defined under Regulation 16(1)(d) of the Listing Regulations.",,,
2026-05-22,BASF,BASF India Limited,insolvency_nclt,insolvency_nclt,4,"BASF India Limited has informed the Exchange regarding Notice of NCLT Convened Equity Shareholders Meeting to be held on Wednesday June 24, 2026 at 3.30 pm (IST) through audio / visual means",,,
2026-05-25,HITECHCORP,Hitech Corporation Limited,delisting_unverified,delisting_unverified,1,Hitech Corporation Limited has informed regarding Delisting offer,,,
2026-05-25,AYMSYNTEX,AYM Syntex Limited,insolvency_nclt,insolvency_nclt,4,Proceedings of the meeting of Unsecured Creditors of the Company pursuant to the order of Hon''ble NCLT.,,,
2026-05-26,OSWALGREEN,Oswal Greentech Limited,default_disclosure,default_disclosure,1,Oswal Greentech Limited has informed the Exchange about Frauds/Default by employees,,,
2026-05-29,BALKRISHNA,Balkrishna Paper Mills Limited,insolvency_nclt,insolvency_nclt,3,"Balkrishna Paper Mills Limited has informed the Exchange regarding Notice of Postal Ballot:Sub: Postal Ballot Notice regarding: 1. Scheme of Reduction of Share Capital of the Company;2. Material Related Party Transaction(s) with Futuristic Concepts Media LLP (Vishal Furnishings Limited and Beetee Fabrics Private Limited merged into Futuristic Concepts Media Limited vide NCLT Order dated 12/09/2025 and Futuristic Concepts Media Limited was subsequently converted into Futuristic Concepts Media LLP w.e.f. 22/01/2026), Sanchna Trading and Finance Limited, S P Finance and Trading Limited, Poddar Bio Diesel Private Limited, Wavelink Fabrics LLP (Wavelink Fabrics Private Limited converted into Wavelink Fabrics LLP w.e.f. 29/03/2025).3. Material Related Party Transactions(s) with S P Finance and Trading Limited during F.Y. 2026-27 and F.Y. 2027-28;4. Material Related Party Transactions(s) with Sanchna Trading and Finance Limited during F.Y. 2026-27 and F.Y. 2027-28.This is to inform you that the Board of Directors of the Company in their Meeting held on 10th April, 2026 have approved Postal Ballot Notice seeking approval of the Members in respect of the captioned subject by way of passing the Ordinary / Special Resolutions through remote electronic voting (remote e-Voting). In terms of relevant Circulars issued by the Ministry of Corporate Affairs and Regulation 44 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, the Company shall provide remote e-Voting facility for the said purpose. The cut-off date of 22nd May, 2026 has been fixed to determine the eligibility of the Members to cast their vote through remote e-Voting facility.In this regard, please find enclosed the Postal Ballot Notice dated 10th April, 2026 together with the Explanatory Statement. The copy of the said Postal Ballot Notice is being uploaded on the website of the Company at www.bpml.in and the website of National Securities Depository Limited at www.evoting.nsdl.com.In conformity with the requirements, the said Notice is being sent electronically to all the Members whose names appear in the Register of Members/ List of Beneficial Owners and whose e-mail IDs are registered with the Company/ Depositories as on Friday, 22nd May, 2026, being the Cut-off date as mentioned above.The remote e-Voting period shall commence at 9:00 a.m. (IST) on Wednesday, 3rd June, 2026, and conclude at 5:00 p.m. (IST) on Thursday, 2nd July, 2026. The Result of the remote e-voting shall be declared on or before Saturday, 4th July, 2026.",,,
2026-06-01,AGARWALEYE,Dr. Agarwal's Health Care Limited,insolvency_nclt,insolvency_nclt,2,"Dr. Agarwal's Health Care Limited has informed the Exchange regarding Notice Convening Meeting Of The Equity Shareholders Of The Company Pursuant To The Order Of Hon'ble NCLT, Chennai Bench",,,
2026-06-19,VIKRAMSOLR,Vikram Solar Limited,insolvency_nclt,insolvency_nclt,5,Vikram Solar Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
