FREQ,REF_AREA,VALUE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
Q,IN,N,771,2016-Q4,8.3446
Q,IN,N,771,2017-Q1,10.4531
Q,IN,N,771,2017-Q2,8.7044
Q,IN,N,771,2017-Q3,7.45
Q,IN,N,771,2017-Q4,7.2024
Q,IN,N,771,2018-Q1,6.7054
Q,IN,N,771,2018-Q2,5.3264
Q,IN,N,771,2018-Q3,5.6814
Q,IN,N,771,2018-Q4,5.134
Q,IN,N,771,2019-Q1,3.6286
Q,IN,N,771,2019-Q2,3.447
Q,IN,N,771,2019-Q3,3.2504
Q,IN,N,771,2019-Q4,2.9735
Q,IN,N,771,2020-Q1,3.9163
Q,IN,N,771,2020-Q2,2.8243
Q,IN,N,771,2020-Q3,1.1038
Q,IN,N,771,2020-Q4,2.1918
Q,IN,N,771,2021-Q1,2.6575
Q,IN,N,771,2021-Q2,1.972
Q,IN,N,771,2021-Q3,2.3811
Q,IN,N,771,2021-Q4,3.1276
Q,IN,N,771,2022-Q1,1.797
Q,IN,N,771,2022-Q2,3.3556
Q,IN,N,771,2022-Q3,6.6461
Q,IN,N,771,2022-Q4,4.5045
Q,IN,N,771,2023-Q1,4.3422
Q,IN,N,771,2023-Q2,3.7212
Q,IN,N,771,2023-Q3,2.6257
Q,IN,N,771,2023-Q4,2.955
Q,IN,N,771,2024-Q1,6.8898
Q,IN,N,771,2024-Q2,7.6201
Q,IN,N,771,2024-Q3,6.9867
Q,IN,N,771,2024-Q4,6.8763
Q,IN,N,771,2025-Q1,3.8341
Q,IN,N,771,2025-Q2,3.6436
Q,IN,N,771,2025-Q3,3.5386
Q,IN,N,771,2025-Q4,3.5781
