FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
Q,IN,B,XDC,INR,B,1964-Q3,29.82
Q,IN,B,XDC,INR,B,1964-Q4,31.16
Q,IN,B,XDC,INR,B,1965-Q1,33.47
Q,IN,B,XDC,INR,B,1965-Q2,34.12
Q,IN,B,XDC,INR,B,1965-Q3,32.7
Q,IN,B,XDC,INR,B,1965-Q4,34.35
Q,IN,B,XDC,INR,B,1966-Q1,36.15
Q,IN,B,XDC,INR,B,1966-Q2,38.9
Q,IN,B,XDC,INR,B,1966-Q3,35.56
Q,IN,B,XDC,INR,B,1966-Q4,37.3
Q,IN,B,XDC,INR,B,1967-Q1,40.51
Q,IN,B,XDC,INR,B,1967-Q2,39.72
Q,IN,B,XDC,INR,B,1967-Q3,37.7
Q,IN,B,XDC,INR,B,1967-Q4,40.24
Q,IN,B,XDC,INR,B,1968-Q1,42.01
Q,IN,B,XDC,INR,B,1968-Q2,43.2
Q,IN,B,XDC,INR,B,1968-Q3,41.85
Q,IN,B,XDC,INR,B,1968-Q4,42.46
Q,IN,B,XDC,INR,B,1969-Q1,46.77
Q,IN,B,XDC,INR,B,1969-Q2,47.93
Q,IN,B,XDC,INR,B,1969-Q3,44.15
Q,IN,B,XDC,INR,B,1969-Q4,48
Q,IN,B,XDC,INR,B,1970-Q1,49.84
Q,IN,B,XDC,INR,B,1970-Q2,51.05
Q,IN,B,XDC,INR,B,1970-Q3,48.29
Q,IN,B,XDC,INR,B,1970-Q4,51.84
Q,IN,B,XDC,INR,B,1971-Q1,54.63
Q,IN,B,XDC,INR,B,1971-Q2,57.02
Q,IN,B,XDC,INR,B,1971-Q3,54.14
Q,IN,B,XDC,INR,B,1971-Q4,59.06
Q,IN,B,XDC,INR,B,1972-Q1,63.45
Q,IN,B,XDC,INR,B,1972-Q2,64.45
Q,IN,B,XDC,INR,B,1972-Q3,59.84
Q,IN,B,XDC,INR,B,1972-Q4,63.14
Q,IN,B,XDC,INR,B,1973-Q1,69.24
Q,IN,B,XDC,INR,B,1973-Q2,76.24
Q,IN,B,XDC,INR,B,1973-Q3,75.28
Q,IN,B,XDC,INR,B,1973-Q4,77.58
Q,IN,B,XDC,INR,B,1974-Q1,85.27
Q,IN,B,XDC,INR,B,1974-Q2,91.09
Q,IN,B,XDC,INR,B,1974-Q3,84.64
Q,IN,B,XDC,INR,B,1974-Q4,88.23
Q,IN,B,XDC,INR,B,1975-Q1,97.08
Q,IN,B,XDC,INR,B,1975-Q2,99.67
Q,IN,B,XDC,INR,B,1975-Q3,98.53
Q,IN,B,XDC,INR,B,1975-Q4,103.44
Q,IN,B,XDC,INR,B,1976-Q1,116.23
Q,IN,B,XDC,INR,B,1976-Q2,118.76
Q,IN,B,XDC,INR,B,1976-Q3,118.95
Q,IN,B,XDC,INR,B,1976-Q4,122.02
Q,IN,B,XDC,INR,B,1977-Q1,136.55
Q,IN,B,XDC,INR,B,1977-Q2,145.64
Q,IN,B,XDC,INR,B,1977-Q3,136.88
Q,IN,B,XDC,INR,B,1977-Q4,142.73
Q,IN,B,XDC,INR,B,1978-Q1,178.3
Q,IN,B,XDC,INR,B,1978-Q2,165.52
Q,IN,B,XDC,INR,B,1978-Q3,165.73
Q,IN,B,XDC,INR,B,1978-Q4,164.46
Q,IN,B,XDC,INR,B,1979-Q1,184.16
Q,IN,B,XDC,INR,B,1979-Q2,210.29
Q,IN,B,XDC,INR,B,1979-Q3,191.64
Q,IN,B,XDC,INR,B,1979-Q4,195.25
Q,IN,B,XDC,INR,B,1980-Q1,218.76
Q,IN,B,XDC,INR,B,1980-Q2,231.45
Q,IN,B,XDC,INR,B,1980-Q3,227.98
Q,IN,B,XDC,INR,B,1980-Q4,229.99
Q,IN,B,XDC,INR,B,1981-Q1,253.83
Q,IN,B,XDC,INR,B,1981-Q2,259.89
Q,IN,B,XDC,INR,B,1981-Q3,259.05
Q,IN,B,XDC,INR,B,1981-Q4,265.18
Q,IN,B,XDC,INR,B,1982-Q1,284.02
Q,IN,B,XDC,INR,B,1982-Q2,327.1
Q,IN,B,XDC,INR,B,1982-Q3,305.07
Q,IN,B,XDC,INR,B,1982-Q4,319.26
Q,IN,B,XDC,INR,B,1983-Q1,369.08
Q,IN,B,XDC,INR,B,1983-Q2,365.8
Q,IN,B,XDC,INR,B,1983-Q3,356.48
Q,IN,B,XDC,INR,B,1983-Q4,391.58
Q,IN,B,XDC,INR,B,1984-Q1,414.67
Q,IN,B,XDC,INR,B,1984-Q2,473.33
Q,IN,B,XDC,INR,B,1984-Q3,453.07
Q,IN,B,XDC,INR,B,1984-Q4,470.49
Q,IN,B,XDC,INR,B,1985-Q1,511.32
Q,IN,B,XDC,INR,B,1985-Q2,520.28
Q,IN,B,XDC,INR,B,1985-Q3,490.87
Q,IN,B,XDC,INR,B,1985-Q4,529.26
Q,IN,B,XDC,INR,B,1986-Q1,543
Q,IN,B,XDC,INR,B,1986-Q2,586.7
Q,IN,B,XDC,INR,B,1986-Q3,546
Q,IN,B,XDC,INR,B,1986-Q4,603.6
Q,IN,B,XDC,INR,B,1987-Q1,624.42
Q,IN,B,XDC,INR,B,1987-Q2,668.1
Q,IN,B,XDC,INR,B,1987-Q3,645.21
Q,IN,B,XDC,INR,B,1987-Q4,681.82
Q,IN,B,XDC,INR,B,1988-Q1,707.45
Q,IN,B,XDC,INR,B,1988-Q2,748.31
Q,IN,B,XDC,INR,B,1988-Q3,732.39
Q,IN,B,XDC,INR,B,1988-Q4,774.1
Q,IN,B,XDC,INR,B,1989-Q1,822.95
Q,IN,B,XDC,INR,B,1989-Q2,847.2
Q,IN,B,XDC,INR,B,1989-Q3,854.72
Q,IN,B,XDC,INR,B,1989-Q4,890.21
Q,IN,B,XDC,INR,B,1990-Q1,947.91
Q,IN,B,XDC,INR,B,1990-Q2,1013.46
Q,IN,B,XDC,INR,B,1990-Q3,995.97
Q,IN,B,XDC,INR,B,1990-Q4,1073.97
Q,IN,B,XDC,INR,B,1991-Q1,1206.91
Q,IN,B,XDC,INR,B,1991-Q2,1239.28
Q,IN,B,XDC,INR,B,1991-Q3,1238.09
Q,IN,B,XDC,INR,B,1991-Q4,1274.87
Q,IN,B,XDC,INR,B,1992-Q1,1389.22
Q,IN,B,XDC,INR,B,1992-Q2,1380.31
Q,IN,B,XDC,INR,B,1992-Q3,1386.73
Q,IN,B,XDC,INR,B,1992-Q4,1346.91
Q,IN,B,XDC,INR,B,1993-Q1,1456.42
Q,IN,B,XDC,INR,B,1993-Q2,1532.24
