"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","PUMA SECURITIES","BUY","14,38,895","426.70","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","PUMA SECURITIES","SELL","14,38,895","427.03","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","QE SECURITIES LLP","BUY","27,59,545","421.38","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","QE SECURITIES LLP","SELL","27,84,001","419.92","-"
"15-MAY-2026","SAVY","Savy Infra and Logi Ltd","NIRAJ RAJNIKANT SHAH","BUY","1,39,200","139.92","-"
"15-MAY-2026","SAVY","Savy Infra and Logi Ltd","SAUMIK KETANKUMAR DOSHI","SELL","1,05,600","139.93","-"
"15-MAY-2026","SHANKARA","Shankara Bldg Product Ltd","DEVARAJULU SATHYAMOORTHI","SELL","1,75,000","115.67","-"
"15-MAY-2026","SILGO","Silgo Retail Limited","GOLDENDUNES BUILDERS AND DEVELOPERS PRIVATE LIMITED","SELL","3,03,000","73.50","-"
"15-MAY-2026","SILGO","Silgo Retail Limited","POOJA VITHALDAS PUJARA","BUY","1,68,171","73.68","-"
"15-MAY-2026","SIMCA","Simca Advertising Limited","LONGTHRIVE CAPITAL VCC - TRENDVIEW CAPITAL FUND","BUY","93,000","153.23","-"
"15-MAY-2026","SIMCA","Simca Advertising Limited","MUNI GULAMABBAS MOHAMMEDALI","BUY","1,21,800","154.55","-"
"15-MAY-2026","SIMCA","Simca Advertising Limited","SHRENI SHARES PVT","BUY","1,99,800","156.00","-"
"15-MAY-2026","SIMCA","Simca Advertising Limited","SMITAL SURESH THAKKAR","BUY","1,00,800","158.82","-"
"18-MAY-2026","AMBER","Amber Enterprises (I) Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","2,61,601","7,324.99","-"
"18-MAY-2026","AMBER","Amber Enterprises (I) Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","2,61,601","7,331.97","-"
"18-MAY-2026","ARIHANTSUP","Arihant Superstruct Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","2,31,400","282.11","-"
"18-MAY-2026","ARIHANTSUP","Arihant Superstruct Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,35,499","282.00","-"
"18-MAY-2026","ARIHANTSUP","Arihant Superstruct Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","4,61,035","284.43","-"
"18-MAY-2026","ARIHANTSUP","Arihant Superstruct Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","4,61,035","284.67","-"
"18-MAY-2026","ARIHANTSUP","Arihant Superstruct Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","3,20,638","284.53","-"
"18-MAY-2026","ARIHANTSUP","Arihant Superstruct Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","3,20,638","284.20","-"
"18-MAY-2026","ARUNAYA","Arunaya Organics Limited","NISHIL FINANCIAL ADVISORS LLP  .","SELL","1,12,000","30.18","-"
"18-MAY-2026","ASTEC","Astec LifeSciences Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","1,21,381","765.01","-"
"18-MAY-2026","ASTEC","Astec LifeSciences Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","1,21,381","765.41","-"
"18-MAY-2026","CKKRETAIL","C K K Retail Mart Limited","JAGID VANITABEN RAJENDRAPRASAD","BUY","2,01,600","127.65","-"
"18-MAY-2026","CKKRETAIL","C K K Retail Mart Limited","RATHOD DIGVIJAYSINH RAJENDRASINH","SELL","1,88,800","127.65","-"
"18-MAY-2026","CONNPLEX","Connplex Cinemas Limited","AAREM INSIGHTS PRIVATE LIMITED","SELL","96,000","232.21","-"
"18-MAY-2026","CONNPLEX","Connplex Cinemas Limited","PRIME VENTURE GROWTH FUND-I","BUY","1,25,600","233.51","-"
"18-MAY-2026","EFCIL-RE","EFC (I) Ltd","FORBES EMF","SELL","89,320","15.00","-"
"18-MAY-2026","EFCIL-RE","EFC (I) Ltd","PRIYA SINGH AGGARWAL","BUY","1,00,000","14.74","-"
"18-MAY-2026","EFCIL-RE","EFC (I) Ltd","RAGASWAROOPA TECHNOLOGIES PVT LTD","BUY","1,19,302","15.05","-"
"18-MAY-2026","EFCIL-RE","EFC (I) Ltd","SAGEONE FLAGSHIP GROWTH 2 FUND","SELL","1,47,546","15.08","-"
