FREQ,REF_AREA,COVERED_AREA,RE_TYPE,RE_VINTAGE,COMPILING_ORG,PRICED_UNIT,ADJUST_CODED,TIME_PERIOD,OBS_VALUE
Q,IN,3,1,0,0,6,0,2010-Q1,NaN
Q,IN,3,1,0,0,6,0,2010-Q2,30.503
Q,IN,3,1,0,0,6,0,2010-Q3,28.9403
Q,IN,3,1,0,0,6,0,2010-Q4,27.8954
Q,IN,3,1,0,0,6,0,2011-Q1,33.9373
Q,IN,3,1,0,0,6,0,2011-Q2,38.4073
Q,IN,3,1,0,0,6,0,2011-Q3,37.7956
Q,IN,3,1,0,0,6,0,2011-Q4,41.4116
Q,IN,3,1,0,0,6,0,2012-Q1,47.9198
Q,IN,3,1,0,0,6,0,2012-Q2,53.6951
Q,IN,3,1,0,0,6,0,2012-Q3,55.4729
Q,IN,3,1,0,0,6,0,2012-Q4,60.7818
Q,IN,3,1,0,0,6,0,2013-Q1,64.5402
Q,IN,3,1,0,0,6,0,2013-Q2,65.0489
Q,IN,3,1,0,0,6,0,2013-Q3,65.3367
Q,IN,3,1,0,0,6,0,2013-Q4,63.9223
Q,IN,3,1,0,0,6,0,2014-Q1,69.4403
Q,IN,3,1,0,0,6,0,2014-Q2,73.1986
Q,IN,3,1,0,0,6,0,2014-Q3,76.0151
Q,IN,3,1,0,0,6,0,2014-Q4,82.7414
Q,IN,3,1,0,0,6,0,2015-Q1,87.8535
Q,IN,3,1,0,0,6,0,2015-Q2,89.7857
Q,IN,3,1,0,0,6,0,2015-Q3,90.6488
Q,IN,3,1,0,0,6,0,2015-Q4,90.8577
Q,IN,3,1,0,0,6,0,2016-Q1,91.4846
Q,IN,3,1,0,0,6,0,2016-Q2,92.584
Q,IN,3,1,0,0,6,0,2016-Q3,95.3551
Q,IN,3,1,0,0,6,0,2016-Q4,95.2672
Q,IN,3,1,0,0,6,0,2017-Q1,94.6736
Q,IN,3,1,0,0,6,0,2017-Q2,103.5501
Q,IN,3,1,0,0,6,0,2017-Q3,101.5604
Q,IN,3,1,0,0,6,0,2017-Q4,101.6331
Q,IN,3,1,0,0,6,0,2018-Q1,98.22
Q,IN,3,1,0,0,6,0,2018-Q2,103.4442
Q,IN,3,1,0,0,6,0,2018-Q3,103.6016
Q,IN,3,1,0,0,6,0,2018-Q4,104.9857
Q,IN,3,1,0,0,6,0,2019-Q1,99.5101
Q,IN,3,1,0,0,6,0,2019-Q2,103.8288
Q,IN,3,1,0,0,6,0,2019-Q3,100.879
Q,IN,3,1,0,0,6,0,2019-Q4,99.7494
Q,IN,3,1,0,0,6,0,2020-Q1,98.6379
Q,IN,3,1,0,0,6,0,2020-Q2,96.8451
Q,IN,3,1,0,0,6,0,2020-Q3,95.3581
Q,IN,3,1,0,0,6,0,2020-Q4,99.7494
Q,IN,3,1,0,0,6,0,2021-Q1,97.8869
Q,IN,3,1,0,0,6,0,2021-Q2,95.3884
Q,IN,3,1,0,0,6,0,2021-Q3,90.6488
Q,IN,3,1,0,0,6,0,2021-Q4,99.2557
Q,IN,3,1,0,0,6,0,2022-Q1,98.7803
Q,IN,3,1,0,0,6,0,2022-Q2,95.82
Q,IN,3,1,0,0,6,0,2022-Q3,101.98
Q,IN,3,1,0,0,6,0,2022-Q4,102.42
Q,IN,3,1,0,0,6,0,2023-Q1,99.7839
Q,IN,3,1,0,0,6,0,2023-Q2,103.434
Q,IN,3,1,0,0,6,0,2023-Q3,101.814
Q,IN,3,1,0,0,6,0,2023-Q4,99.414
Q,IN,3,1,0,0,6,0,2024-Q1,99.1198
Q,IN,3,1,0,0,6,0,2024-Q2,99.1396
Q,IN,3,1,0,0,6,0,2024-Q3,97.6584
Q,IN,3,1,0,0,6,0,2024-Q4,98.9164
Q,IN,3,1,0,0,6,0,2025-Q1,95.9702
Q,IN,3,1,0,0,6,0,2025-Q2,97.3699
Q,IN,3,1,0,0,6,0,2025-Q3,98.5677
Q,IN,3,1,0,0,6,0,2025-Q4,101.26
